,sypnopsis,Action,Adventure,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Historical,Horror,Kids,Magic,MartialArts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shounen,SliceofLife,Space,Sports,SuperPower,Supernatural,Thriller,Vampire
21,year  decade pass catastrophic event know second impact befall mankind time recovery select learn being know angel colossal malevolent entity intention trigger impact wipe rest humanity call city tokyo- father gendou ikari teenager shinji thrust headlong humanity struggle separated gendou death mother shinji presume father wish repair shatter familial bond instead discover bring pilot giant machine capable fighting angel evangelion unit- force battle wave wave mankind great threat young boy find catch middle plan affect future humanity forever,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,final angel vanquish nerv enemy leave face human seele command leave deep depression near end original series indecisive shinji ikari struggle ultimatum present completely accept mankind existence renounce humanity individuality core compromise nerv gendou ikari rei ayanami approach lilith attempt realize ideal concern future world end evangelion serve alternate end polarize final episode neon genesis evangelion fate universe hang balance climactic final battle draw near,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,bear corpse mother young mercenary know gut embrace battlefield mean survival day day put life line move bloodshe run band hawk formidable troop mercenary gut recruit charismatic leader griffith nickname white hawk quickly climb rank order head offensive faction gut prove mighty addition griffith force take midland storm band quest recognition continue gut slowly realize world black white assume set medieval era kenpuu denki berserk dark gritty tale follow man struggle find path support lust power unimaginable tragedy begin turn wheel fate,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
24,year  niihama city technologically advanced metropolis great improvement cybernetic citizen able replace limb robotic part world interconnect city public security section  responsible combat corruption terrorism dangerous threat follow shift globalization strong willed major motoko kusanagi section  spearhead case involve mysterious hacker know puppet master leave trail victim strip memory like futuristic world puppet master body entirely robotic give incredible power motoko subordinate follow enigmatic criminal trail party include section  start involve force confront extremely complicated nature case ponder philosophical question life mean motoko soon realize provide answer puppet master themself,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
25,mankind savagery surpass fear death little hope wish live honest life beneath moon young boy witness murder bandit enslave christen new man rescue boy shinta know kenshin himura destine swordsman softness heart befit occupation desire protect innocent absolute rurouni kenshin meiji kenkaku romantan tsuioku hen detail origin man bear hitokiri battousai long swore oath kill earn reputation assassin young man heart divide justice corruption fate nation rest action,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
26,final year bakumatsu era live legendary assassin know hitokiri battousai fear merciless killer unmatched country mysteriously disappear peak japanese revolution peaceful year mention battousai strike terror heart war veteran unbeknownst battousai abandon bloodstained lifestyle effort repent sin live kenshin himura wandering swordsman cheerful attitude strong vow kill kenshin dedicate protect weak day stumble kaoru kamiya kendo dojo threaten impostor claim battousai receive help kenshin kaoru allow stay dojo assassin temporarily cease travel rurouni kenshin meiji kenkaku romantan tell story kenshin strive save need save enemy past present begin emerge reform killer able uphold new ideal,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
27,war tokugawa shogunate end year ago happy outcome shigure takimi watch friend family slash freedom prosperity band desperate rebel swear settle final score man stand way kenshin himura shigure discover kenshin true identity hitokiri battousai fight personal vendetta,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
28,japan  explosion cause young boy psychic power tear city tokyo ignite fuse lead world war iii order prevent destruction capture take custody hear year  restore version city know neo tokyo area rife gang violence terrorism current government stand place shoutarou kaneda lead capsule group misfit know ride large custom motorcycle constant conflict rival clown battle shoutarou good friend tetsuo shima catch accident esper find street tokyo escape confinement government institution encounter tetsuo begin develop mysterious ability government seek quarantine late psychic desperate attempt prevent unleash destructive power bring city knee,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
29,young wavemaster know alias tsukasa wakes mmorpg call world slight amnesia know previously wake world crimson knight suspect hacker see accompany tweak character form cat unable log game wander look answer avoid knight player meet way tsukasa explore world stumble magical item take form guardian promise protection harm subaru leader crimson knight player acquaint tsukasa set investigate tsukasa unable log attempt problem get hand,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,college student keiichi morisato dial wrong number order food dormitory accidentally get connected goddess hotline beautiful goddess name belldandy appear mirror getting kick dorm keiichi belldandy old shrine soon belldandy sister urd skuld,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
31,world human wish grant goddess help hotline human keiichi morisato summon goddess belldandy accident joke stay forever unfortunately wish grant suddenly keiichi live gorgeous woman cause kick male dormitory stay soon find lodge buddhist temple keiichi belldandy relationship begin blossom awkward uncomfortable await stranger turn unexpected romance,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
32,setsuna mudo  year old high school student try run afoul bully senior help love young sister sara see month life keep head setsuna ambush mysterious being angel demon profess know true destiny angel reincarnation leader alexiel demon claim lead war god setsuna struggle identity strange time eternal conflict heaven hell threaten reignite prepare,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
33, year old misaki suzuhara get involve angelic layer battle game electronic doll call angel newbie misaki show advanced skill meet new friend enter angelic layer tournament fight great angelic layer champion nation,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
34,kaoru hanabishi college student life meet beautiful bewildered girl dress kimono train station volunteer guide way address look happen neighborhood turn lot know kaoru invite devastated girl apartment ask additional clue destination supply photo child kauru immediately identify aoi sakuraba childhood friend turn girl aoi sakuraba betroth fiancee come way tokyo marry revelation surprising remind deep kaoru memory leave hanabishi family place,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
35,grow chaos global war city utopia populate human bioroid surface harmonious tension lurk seemingly perfect society come survivor war deunan knute carry legacy turn critical importance future humanity,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
36,story follow elk bounty hunter strange futuristic world world archaic advanced technology exist primitive attitude beast magic word get bit evil conspiracy able produce powerful monster call chimera appear human naturally long elk rescue young female beast master gain enemy,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,mars colonize world child replace robot servant know doll layla skilled fighter tragic past travel world companion nei strange unique doll unknown tie layla speedy doll breeder founder mars trio threat world time attack layla nei bit mysterious past future reveal,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
38,fourteen year old yukio koyuki tanaka dispirit young boy goal life change koyuki save strange look dog name beck harass group local kid dog owner  year old ryuusuke ray minami emerge guitarist member popular rock band koyuki meet ray diner old boy lead band meeting place dazzle koyuki amazing guitar skill slowly interested glamour western rock culture koyuki decide start play guitar help ray achieve dream lead ultimate rock band ray young sister maho member boy launch career world rock form band call beck beck follow group struggle success spread fame japan,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
39,blue gender take place distant future world thing go terribly wrong humanity human replace food chain blue race bug like alien colonize earth push human aside space station second earth construct safe haven human hope day reclaim earth yuji kaido cryogenically freeze have suffer disease know b cell awaken join team soldier come earth extract unfortunately go accord plan way second earth yuji deal horror fight bloody war fighter second earth look survive able win earth lose humanity,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
40,computer start look like human love remain hideki motosuwa young country boy study hard college come poor background barely afford expense let new fad persocom personal computer look exactly like human being evening walk home find abandon persocom take home manage activate defective word chii eventually unlike persocom chii download information hard drive hideki decide teach world old fashioned way study college entrance exam time friend hideki try unravel mystery chii chobit urban legend special unit real human emotion thought love owner romance flourish persocom human,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
41,s decade great change upheaval monstrous demon appear america combat menace holy organization know order magdalene establish organization new york branch home young reckless sister rosette christopher partner chrno task extermination demonic threat renowned team excellent job despite cause extensive collateral damage mission rosette chrno drive dark past exterminate demon rosette hope find lose brother joshua take sinner demon aion chrno share bloody history fight increasingly dangerous demonic menace discover source continue search truth joshua disappearance,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
42,daisuke niwa clumsy block head wimpy middle school student redeem quality th birthday finally decide confess love longtime crush risa harada reject unexpected turn event daisuke find transform dark mousy infamous phantom thief mind set risa daisuke unaware strange heritage mother certainly boy bear mother plan steal valuable work art let elusive art thief know doubt confusion constantly cloud mind daisuke find struggle relationship classmate family long daisuke realize fate family legacy great adversary classmate unwilling fight,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
43,year flower bloom mysterious cherry blossom bloom crescent shape island island island hatsune main character go kazami academy asakura junnichi power dream people sleep teach magic old lady allow create sweet day junnichi see dream sleep inside dream girl childhood friend appear woken sister asakura nemu force come regular life nemu actually blood relation junnichi bond deep real brother sister deep give illusion lover peaceful normal day wake early morning go kazami academy childhood friend amakase miharu academy idol shirakawa kotori sisters mizukoshi moe mako prefer eat nabe school roof lunch go day usual childhood friend yoshino sakura thought move america suddenly appear surprise junnichi nemu sakura tell come finish promise childhood,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,year ago ufo contain  alien crash land shore kasai fix ship japanese government decide bestow designation dear japanese citizen teach language custom culture japan order familiar human society home stay program enact allow mingle human misty morning truck carry capsule house alien end drop riverbank release confinement eventually find high school student name takeya ikuhara save hit truck take pity despite extremely distrustful race wanting name ren imprint master serve personal slave leave dear want remain matter bring ordinary alien free day end,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
45,traumatized school jun sakurada spend day home shut purchase thing online send free trial period end note appear desk ask wind assume order carelessly circle yes change life forever box arrive wind doll inside ordinary toy jun wind begin walk talk normal person haughty attitude introduce shinku fifth doll rozen maiden collection group special doll legendary dollmaker rozen sister battle competition call alice game help human ensure victory winner alice real girl worthy meeting creator sentient doll end take residence jun house foe shinku past make appearance jun life far complicated thought possible,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,story rozen maiden close new chapter begin rozen maiden träumend shinku sentient doll rozen maiden collection live life usual jun sakurada house having settle role shinku partner deadly alice game jun overcome fear prepare return school shinku doll idly pass day comfort jun home dark time lie ahead new foe presents barasuishou seventh rozen maiden barasuishou mystery sister lay eye shinku consider sign alice game come end meaning doll soon force fight haunt upcoming battle nightmare concern doll shinku begin distance wish claim victory come high cost live sister,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,chiyo mihama begin high school career strange student freshman class tiny  year old academic prodigy fondness plush doll homemade cooking homeroom teacher yukari tanizaki kind person hijack student bike avoid late strange relative word certainly shortage peculiar girl yukari sensei homeroom class accompany chiyo student like tomo takino energetic tomboy enthusiasm brain koyomi mizuhara tomo good friend temper fuse short chiyo sakaki tall athletic beauty intimidate look hide gentle personality painful obsession cat addition transfer student ayumu kasuga girl head stick cloud fit right rest girl interesting theory chiyo pigtail lovable group girl experience up down school life adventure fill constant laughter surreal absurdity occasionally touch commentary bittersweet temporal nature high school,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
48,century iga kouga ninja clan engage bitter war ceasefire order powerful warlord ieyasu tokugawa clan force arm year later gennosuke kouga heir kouga clan oboro iga heir iga clan fall love marriage heir aim bring peace clan hope dash flame rivalry clan reignite drag war ieyasu grandson claim heir shogunate resolve dispute kouga iga order send  good warrior fight bloody battle royale clan represent potential shogunate heir scroll name fighter give mark blood give fighter death prize win favor tokugawa shogunate thousand year tear love duty clan gennosuke oboro ultimately decide fate clan,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
49,complete job ruthless accuracy train heartnet infamous assassin regard human life don moniker black cat underground world elite killer work powerful secret organization know chrono gloomy night blasé gunman stumble saya minatsuki enigmatic bounty hunter soon develop odd friendship influence saya positive outlook life train begin rethink life decide abandon role black cat instead opt head virtuous path honest bounty hunter chrono particularly creed diskenth train possessive underling impressed train sudden change heart vow resort extreme measure order bring emissary bad luck assassin turn stray cat wander far deafen sound gunfire ring,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
50,cluster edge academy school school offspring elite come prepare role run world artificial soldier religious sect major factor battle total control new transfer student agate fluorite fit agate enthusiastic attitude stand somber brood balance student body demand notice jade honor student like beryl jasper moment arrival center series mystery agate understand agate student momentous dangerous world build cluster edge survive pass,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,equip cut edge weaponry specialized troop private military organization name mithril strive extinguish world terrorism threat peace earth organization power whispered individual possess intuitive knowledge remarkable ability create powerful device machinery seventeen year old sousuke sagara sergeant working mithril assign protect kaname chidori whisper candidate order join high school class close possible prevent fall enemy hand safely blend fellow classmate reveal true identity sousuke raise battlefield little knowledge average high school student lifestyle adapt normal school life safeguard kaname enemy force begin make sousuke find adversary come whispered girl lot familiar expect,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,school mayhem kaname chidori war freak classmate sousuke sagara encounter misadventure jindai high school kaname get trouble sousuke take guise bonta kun gun wield butt kick mascot struggle continue live normal teenager sousuke deal protect superior officer teletha testarossa decide vacation mithril spend couple week kaname classmate,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,overcome tumultuous event mercenary sergeant sousuke sagara mithril whisper school girl kaname chidori return normal high school live sousuke continue effort assimilate civilian population manage mission time kaname attempt support endeavor live calm new problem begin appear appearance independent terrorist organization know amalgam internal conflict mithril threaten wreak unity series failure betrayal new powerful arm slave model worsen situation world peace stake kaname sousuke face inner battle amidst life threaten fight able right choice change future,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,mikan sakura normal  year old girl optimistic energetic overall sweet child mikan complete opposite aloof intelligent somewhat cold hearte hotaru imai despite glare difference girl good friend long time hotaru suddenly transfer alice academy prestigious school city good friend devastate especially hear horrible rumor academy harsh treatment student beset worry mikan run away good friend arrival mikan learn alice individual gift supernatural ability school institution build government train protect discover unique power mikan enroll academy lot trouble finally reunite hotaru gakuen alice heartwarming comedy follow mikan friend adventure academy attempt uncover mystery surround problematic fire wield student natsume hyuuga,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
55,tatsumiyajima central island middle small cluster island sleepy backwater japanese isle happen island young people school know life likely remain peaceful undisturbed teach truth different fate mankind line tatsumiyajima line defense hostile incomprehensible enemy center fight humanity continue existence giant robot fafner dragon guard final treasure mankind,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
